full_text,Label
"['gebrakan', 'apa', 'ini', 'gue', 'baru', 'bangun', 'anjing']",NoBully
"['aku', 'uninstal', 'monopolygo', 'sbelum', 'dia', 'kecoh', 'israel', 'lagi', 'aku', 'koyak', 'masa', 'spin', 'event', 'kek', 'bodoh', 'tudeal', 'bnyak', 'dia', 'bagi', 'ciput', 'sampai', 'dadu', 'habis', 'anjing', 'punye', 'game']",NoBully
"['pas', 'yg', 'terakhir', 'otomatis', 'ngomong', 'anjing', 'bangsat']",NoBully
"['tapi', 'sumpah', 'ini', 'lucu', 'banget', 'anjing', 'hahahhahahaha']",NoBully
"['result', 'brazil', 'night', 'pools', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully
"['kaget', 'anjir', 'tiba', 'tiba', 'mantan', 'buka', 'pintu', 'kost', 'mana', 'cuman', 'pake', 'cd', 'anjing']",NoBully
"['gila', 'gue', 'kek', 'mama', 'muda', 'jam', 'anjing', 'gue', 'nangis', 'gara', 'kedinginanðÿšðÿ']",NoBully
"['konyol', 'anjing', 'harusnya', 'lo', 'hidup', 'bareng', 'badut', 'it', 'aja', 'anjir', 'dia', 'kan', 'ketawa', 'terus']",NoBully
"['gabisa', 'anjing', 'gue', 'gabisaðÿðÿðÿðÿðÿµðÿ']",NoBully
"['result', 'cambodia', 'night', 'pools', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully
"['fak', 'anjing', 'hahahahahah']",NoBully
"['allah', 'tuh', 'adil', 'kadang', 'sesuatu', 'yg', 'hina', 'di', 'mata', 'manusia', 'bisa', 'berbeda', 'di', 'mata', 'allah', 'ingat', 'pernah', 'ada', 'seorang', 'pelacur', 'yg', 'masuk', 'surga', 'gegara', 'memberi', 'minum', 'anjing', 'sebelum', 'meninggal', 'kita', 'ga', 'pernah', 'tau', 'ending', 'setiap', 'orang', 'itu', 'bagaimana', 'jadi', 'jangan', 'asal', 'jadi', 'hakim', 'bagi', 'saudaramu']",NoBully
"['anjing', 'mau', 'ketemu', 'renjun', 'bangsat']",NoBully
"['gw', 'jg', 'anjing']",NoBully
"['anjing', 'gw', 'mau']",NoBully
"['galang', 'anjing', 'babi', 'bangsat', 'taik', 'kucing', 'lu', 'galang', 'anjing', 'gue', 'doain', 'tuh', 'kontol', 'gak', 'bisa', 'muncrat', 'lagi', 'taik']",NoBully
"['lu', 'mendingan', 'kawin', 'sama', 'anjing', 'aja', 'dah', 'nanti', 'anaknya', 'menggongong', 'ga', 'nangis']",Bully
"['anjing', 'gue', 'udh', 'kaget']",NoBully
"['gada', 'yg', 'pduli', 'anjing']",NoBully
"['anjing', 'karina', 'secakep', 'ini', 'smlm']",NoBully
"['aduh', 'gw', 'stuck', 'disini', 'bermenit', 'menit', 'pedih', 'pasti', 'lu', 'suka', 'banget', 'yak', 'sampe', 'berjuang', 'segitunya', 'tapi', 'lu', 'bego', 'sih', 'huhuhu', 'anjing', 'mau', 'sama', 'gua', 'aja', 'gakðÿ', 'tapi', 'gua', 'burik', 'kak', 'part', 'duaðÿ']",NoBully
"['prediksi', 'togel', 'sydney', 'â', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'â', 'web', 'prediksi', 'flokitoto', 'â']",NoBully
"['obatku', 'anjing', 'gede', 'semua']",NoBully
"['bln', 'menhilang', 'dan', 'dtng', 'lagibginila', 'hukum', 'alam', 'datang', 'dan', 'prgdasar', 'anjinguda', 'capek', 'ma', 'tulus', 'dan', 'stia', 'sama', 'dia', 'mala', 'dia', 'hilang', 'pas', 'dtng', 'lagi', 'dgn', 'ucpan', 'manis', 'nya', 'anjinguda', 'enak', 'jomblo', 'meskipun', 'kesepianðÿœorang', 'yg', 'tinggalkan', 'sya', 'pasti', 'mnyesal', 'ðÿšðÿ']",NoBully
"['brengsek', 'lu', 'miya', 'gye', 'nangis', 'pagipagi', 'anjing']",NoBully
['anjing'],NoBully
"['anjing', 'gue', 'cape', 'cinta', 'sendri', 'gue', 'males', 'sama', 'dia', 'orng', 'gue', 'jadi', 'kesel', 'sumpah', 'gue', 'bete', 'prh', 'anjjjjjh']",NoBully
"['anjing', 'ketawa', 'bgt']",NoBully
"['tai', 'anjing']",NoBully
"['parah', 'anjing', 'parah', 'noooðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿ']",NoBully
"['terjerat', 'jaring', 'bayi', 'anjing', 'laut', 'diselamatkan', 'di', 'afsel']",NoBully
"['tau', 'anjing', 'kenapa', 'ya']",NoBully
"['tanyarl', 'kan', 'ada', 'tuh', 'namanya', 'nasi', 'kucing', 'meskipun', 'ga', 'pake', 'daging', 'kucing', 'kl', 'aku', 'jual', 'nmanya', 'nasi', 'anjing', 'boleh', 'ga', 'si', 'nama', 'aja', 'ga', 'pake', 'dging', 'anjing', 'beneran']",NoBully
"['bodoh', 'tolol', 'anjing', 'bangsat', 'goblok', 'ucap', 'diriku', 'kpd', 'diriku']",NoBully
"['hampir', 'juta', 'sebulan', 'cuma', 'buat', 'beli', 'kopi', 'doang', 'anjing', 'lah', 'pantes', 'agak', 'miskin', 'setiap', 'akhir', 'bulan']",NoBully
"['emang', 'anjing', 'baru', 'sadar', 'kh', 'u', 'ðÿ']",Bully
"['kontol', 'lu', 'anjing', 'bangsat', 'gw', 'belom', 'cair', 'dari', 'tip', 'malah', 'cepu', 'goblok']",NoBully
"['wekwan', 'anjing', 'emang']",NoBully
"['bangsat', 'baru', 'ijo', 'anjing', 'gausah', 'klakson', 'gak', 'bisa', 'naik', 'motor', 'belajar', 'dulu', 'anjing', 'tolol', 'bahayain', 'orang', 'anjing', 'rausah', 'ngebut', 'cok', 'berisik', 'knalpot', 'jamet', 'kabupaten', 'polisi', 'tidur', 'segede', 'ini', 'buat', 'apa', 'dah', 'ya', 'allah', 'kenapa', 'sih', 'orang', 'orang', 'bego', 'kaya', 'gini', 'dikasih', 'motor']",Bully
"['anjing', 'banget', 'setiap', 'hari', 'minggu', 'kenapa', 'gampang', 'banget', 'bangun', 'pagi', 'giliran', 'hari', 'kerja', 'susah', 'banget', 'ampun']",NoBully
"['anjing', 'lu', 'hisung', 'cemburu', 'kekâï']",NoBully
"['kampret', 'gua', 'iri', 'banget', 'anjinggðÿ']",NoBully
"['gue', 'dari', 'tadi', 'fokus', 'nonton', 'bngt', 'sampe', 'mikirin', 'ini', 'd', 'apa', 'anjing', 'gue', 'jadi', 'dag', 'dig', 'dug', 'ser']",NoBully
"['anjing', 'kurap', 'lagi', 'lapar', 'ya']",NoBully
"['bacot', 'sia', 'ngentot', 'kalo', 'panas', 'mah', 'panas', 'aja', 'anjing']",NoBully
"['sicepat', 'bener', 'bener', 'ya', 'anjing', 'ekspedisi', 'sampah', 'dr', 'semua', 'ekspedisi', 'di', 'indonesia', 'cuma', 'si', 'cepat', 'aja', 'yg', 'lemotnya', 'bukan', 'maen', 'mana', 'barangnya', 'keburu', 'dipake', 'eh', 'ini', 'malah', 'cris', 'cros', 'segala', 'anjeng', 'anjengðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿ']",NoBully
"['minimal', 'nanya', 'goblok', 'kalo', 'gatau', 'bukan', 'malah', 'jadi', 'bikin', 'indo', 'di', 'ban', 'lu', 'tolol', 'punya', 'otak', 'ga', 'di', 'pake', 'komunitas', 'negara', 'india', 'mah', 'kompak', 'bukan', 'malah', 'cepuin', 'negara', 'sendiri', 'babi', 'gua', 'baru', 'garap', 'round', 'ini', 'kontol', 'lu', 'anjing']",Bully
"['babi', 'ternyata', 'ketauan', 'anjing', 'kalau', 'ngesave', 'video', 'orang', 'di', 'tiktok', 'ðÿ']",NoBully
"['minggu', 'juga', 'lonte', 'anjing', 'jalang']",Bully
"['jilat', 'terus', 'sampe', 'ke', 'daki', 'kuku', 'buzzer', 'anjing', 'pemerintah', 'kasi', 'makan', 'anak', 'bini', 'lu', 'pake', 'uang', 'panas']",NoBully
"['ini', 'nder', 'yang', 'aku', 'baca', 'âœmisuh', 'pake', 'hangeul', 'aja', 'kali', 'ya', 'asu', 'kalian', 'jancuk', 'anak', 'setan', 'tai', 'anjing', 'babiâ']",NoBully
"['mahluk', 'apa', 'anjing', 'ituðÿ']",NoBully
"['blio', 'kan', 'tipe', 'orang', 'yang', 'kalo', 'orang', 'lain', 'nuding', 'blio', 'tu', 'blio', 'bodo', 'amat', 'kayak', 'anjing', 'menggonggong', 'kafilah', 'berlalu', 'tapi', 'kalo', 'sampe', 'nyentuh', 'anaknya', 'tu', 'berarti', 'lu', 'membangunkan', 'singa', 'tidur', 'ini', 'keadaan', 'udah', 'ga', 'enak', 'banget', 'sampe', 'ditegur', 'ama', 'orang', 'yang', 'ga', 'suka', 'marah', 'kayak', 'blio']",NoBully
"['emosi', 'emosi', 'bgt', 'anjing']",NoBully
"['anjing', 'jujur', 'ak', 'kaget', 'bgt', 'tadi', 'bacanyaðÿðÿ']",NoBully
"['oalah', 'anjing', 'ternyata', 'gajadi', 'cover', 'ðÿðÿðÿðÿðÿðÿ']",NoBully
"['anjing', 'gue', 'baru', 'bangun', 'semalem', 'sm', 'anak', 'gc', 'baru', 'ngomongin', 'buat', 'minnta', 'spil', 'something', 'sm', 'pakinsatang', 'ga', 'nyangka', 'lgsg', 'di', 'kabulin', 'sialan', 'mana', 'baru', 'ngomongin', 'ciuman', 'gemfot', 'juga', 'ðÿ']",NoBully
"['ga', 'ada', 'anjing', 'itu', 'becanda', 'doanb']",NoBully
"['wkwk', 'keluarga', 'anjing']",NoBully
"['kata', 'orang', 'kalo', 'kita', 'sering', 'ditempel', 'dan', 'dideketin', 'hewan', 'kayak', 'kucing', 'sama', 'anjing', 'random', 'artinya', 'aura', 'kita', 'positif', 'apa', 'auraku', 'positif', 'hm']",NoBully
"['mau', 'piara', 'anjing', 'husky']",NoBully
"['kmu', 'tu', 'lucu', 'tp', 'kaya', 'anjing']",NoBully
"['garagara', 'celeng', 'bikin', 'garis', 'seenaknya', 'anjing', 'masuk']",NoBully
"['wkwk', 'kalo', 'yang', 'ngejarnya', 'anjing', 'kan', 'takut']",NoBully
"['jla', 'anjing', 'jla', 'plis', 'bru', 'inget', 'kalo', 'nge', 'an', 'fol', 'kapi', 'rak', 'sih', 'mergo', 'kapi', 'rak', 'polbek', 'n', 'now']",NoBully
"['intel', 'anjing', 'bangsat', 'taik', 'babi', 'provokasi', 'busuk']",NoBully
"['keluarga', 'elu', 'anjing', 'kapir', 'monyetðÿðÿðÿ']",Bully
"['prediksi', 'togel', 'leeds', 'â', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'â', 'web', 'prediksi', 'flokitoto', 'â']",NoBully
['anjing'],NoBully
"['orang', 'tua', 'kalo', 'udah', 'puber', 'kedua', 'memang', 'anjing', 'banget']",NoBully
"['allegri', 'anjing']",NoBully
"['bentukan', 'jijel', 'sama', 'jeno', 'dari', 'belakang', 'begini', 'anjing', 'gila', 'emg', 'perfect', 'body', 'bgtðÿðÿðÿðÿðÿðÿ']",NoBully
"['anjing', 'adam', 'gua', 'kesel', 'sama', 'lo', 'ðÿðÿðÿ', 'plis', 'semoga', 'ini', 'mimpinya', 'jefa', 'doangðÿðÿðÿ', 'sumpah', 'kesel', 'bgt', 'adam', 'pdahal', 'gua', 'di', 'pihak', 'lo', 'njir', 'ðÿðÿ', 'info', 'tampol', 'adam', 'dong', 'gua', 'kesel', 'sampai', 'nangis', 'ðÿðÿðÿ']",NoBully
"['happy', 'birthday', 'beautiful', 'anjing', 'happy', 'birthday', 'anji']",NoBully
"['iqbal', 'anjing']",NoBully
"['prediksi', 'togel', 'dewata', 'pools', 'â', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'â', 'web', 'prediksi', 'flokitoto', 'â']",NoBully
"['hahahah', 'ril', 'anjing']",NoBully
"['mimpi', 'ditunjuk', 'bu', 'etik', 'ngerjain', 'soal', 'matematika', 'di', 'depan', 'kelas', 'bangun', 'lngsng', 'lemes', 'anjingðÿ']",NoBully
"['gapapa', 'gue', 'happy', 'bgt', 'anjing', 'gue', 'gaboleh', 'sedih', 'pokonnya']",NoBully
"['wkwkwk', 'ketawa', 'banget', 'anjing', 'dulu', 'aja', 'ngatain', 'jm', 'masuk', 'trending', 'cuma', 'karena', 'ga', 'shipper', 'hadah', 'makan', 'noh', 'trending']",NoBully
"['please', 'gue', 'juga', 'cape', 'cape', 'bgt', 'anjing', 'bangsat', 'tai', 'babi', 'monyet']",NoBully
"['napa', 'si', 'babi', 'kok', 'malah', 'ovt', 'sama', 'cewe']",Bully
"['babi', 'ga', 'ada', 'sopan', 'sopannya', 'lu']",Bully
"['pen', 'culik', 'firfirnarak', 'maaak']",NoBully
"['hari', 'ini', 'aku', 'minum', 'susu', 'babi', 'ðÿðÿ']",NoBully
"['omg', 'jwjwkwkask']",NoBully
"['sumpah', 'anjing', 'punya', 'temen', 'slowrespon', 'bgt', 'babiiðÿ']",Bully
"['uang', 'ada', 'hiburan', 'yang', 'tidak', 'ada', 'babi', 'memang']",NoBully
"['thats', 'yah', 'ketahuan', 'babi']",NoBully
"['fak', 'yu', 'alternator', 'tu', 'ganyampe', 'knock', 'sampe', 'low', 'aja', 'swehit', 'hit', 'jadi', 'pas', 'reload', 'di', 'sampah', 'babi']",NoBully
"['nak', 'tgk', 'gak', 'babi']",NoBully
"['wkwkwkwk', 'gapapa', 'aku', 'juga', 'star', 'soalnya', 'gak', 'kuat', 'bzir', 'coppelius', 'babi']",NoBully
"['gondo', 'sm', 'babi', 'lt']",Bully
"['ðÿœ', 'hbd', 'ciize', 'ðÿ']",NoBully
"['walaupun', 'cuma', 'sebagai', 'fans', 'bukan', 'faen', 'read', 'gun', 'atp', 'ðÿœ', 'jujur', 'ngerasa', 'seneng', 'banget', 'sebagai', 'babi', 'berasa', 'dihargai', 'banget', 'sama', 'offjum', 'apaapa', 'pasti', 'selalu', 'bawa', 'babi', 'makasih', 'banyak', 'ya', 'offjum', 'udah', 'selalu', 'inget', 'babi', 'amp', 'selalu', 'menghargai', 'keberadaan', 'babi', 'ðÿºðÿ']",NoBully
"['babi', 'smua']",NoBully
"['aku', 'penat', 'lah', 'babi']",NoBully
"['goblok', 'natamu', 'aku', 'wes', 'sen', 'iki', 'loh', 'panas', 'banget', 'babi', 'gw', 'udah', 'minggir', 'anjing', 'kalau', 'ada', 'mobil', 'klakson', 'dsri', 'belakang', 'huhu', 'tai', 'kena', 'jalan', 'berlubang', 'asu', 'nyapose', 'banter', 'banter', 'kabeh', 'ki', 'yaallah', 'anginne', 'banter', 'men', 'nyanyi', 'mobil', 'belajaran', 'ya', 'lu', 'silau', 'men']",NoBully
"['babi', 'orang', 'orang', 'pada', 'pacaran', 'real', 'gue', 'jg', 'mw']",NoBully
"['lo', 'babi', 'gahar']",Bully
"['congratulations', 'namu']",NoBully
"['babi', 'lo', 'smua']",NoBully
"['dimana', 'nya', 'kak']",NoBully
"['zona', 'dimana', 'kak', 'aku', 'plaza', 'tenggara', 'jauh', 'y']",NoBully
"['babi', 'cuma', 'mau', 'ngetap', 'keluar', 'doanggðÿðÿðÿµðÿðÿðÿµðÿðÿðÿµðÿ']",Bully
"['musnah', 'lo', 'bajingan', 'tolol', 'bego', 'monyet', 'bangsat', 'babi']",NoBully
"['lu', 'ngejek', 'banget', 'babi', 'ðÿðÿðÿðÿµðÿðÿµðÿðÿµðÿðÿµðÿ']",NoBully
"['hai', 'kak', 'ini', 'dimana', 'ya']",NoBully
['nuhuh'],NoBully
"['mamah', 'berantem', 'sama', 'kaka', 'gara', 'gara', 'mamah', 'bilang', 'sabun', 'cuci', 'tuh', 'yg', 'ukuran', 'paling', 'habis', 'hari', 'kaka', 'gue', 'di', 'komporin', 'sama', 'sepupu', 'katanya', 'mamah', 'bilang', 'kaka', 'gue', 'numpang', 'gak', 'beliin', 'sabun', 'wkwkwk', 'sekarang', 'nyokap', 'gue', 'jantungnya', 'kumat', 'dan', 'kaka', 'gue', 'kek', 'ngerasa', 'bersalah', 'gitu', 'tai']",NoBully
"['anjir', 'lah', 'niat', 'ngerjain', 'peta', 'malah', 'gabisa', 'terus', 'reclassify', 'eror', 'terus', 'babi']",NoBully
"['kocak', 'emang', 'ðÿ']",NoBully
"['semangat', 'bg', 'dikit', 'lg', 'lucu']",Bully
"['makasih', 'lucu', 'tapi', 'kenapa', 'harus', 'babi', 'sihðÿâðÿ']",NoBully
"['alah', 'pepek', 'lu', 'itu', 'host', 'kecil', 'tapi', 'problematik', 'nya', 'parah', 'dri', 'dulu', 'juga', 'play', 'victim', 'banget', 'babi']",NoBully
"['cakep', 'bgt', 'anjir', 'jgn', 'nyenggol', 'hati', 'comelku', 'babi', 'huf', 'maaf', 'krusinh', 'trs', 'soalnya', 'ak', 'mw', 'nabung', 'anjir', 'lah', 'apa', 'mngkin']",NoBully
"['pa', 'cahyo', 'tuh', 'enak', 'ngajarinnya', 'soalnya', 'ketawa', 'ketiwi', 'tp', 'gabisa', 'priv', 'babi']",NoBully
"['jlek', 'bgt', 'babi', 'nangis', 'di', 'busway', 'siang', 'siang']",NoBully
"['jadilah', 'yg', 'luar', 'biasa', 'krn', 'yg', 'biasa', 'itu', 'sudah', 'biasa']",NoBully
"['pada', 'milih', 'babiiðÿðÿ']",NoBully
"['walah', 'babi', 'wowowkkwkwk']",NoBully
"['ada', 'kami', 'dc', 'nya', 'serem', 'banget', 'temen', 'gue', 'pakai', 'ada', 'kami', 'sampai', 'nelfon', 'orang', 'tuanya', 'dan', 'di', 'makimaki', 'kek', 'babi', 'dc', 'nya', 'anjir', 'mana', 'ngancem', 'pula']",NoBully
"['morning', 'emng', 'jaekyung', 'kontol', 'babi', 'emng']",NoBully
"['krl', 'manda', 'foto']",NoBully
"['hari', 'ini', 'pas', 'tahun', 'aku', 'sama', 'kamu', 'heheh']",NoBully
"['capeâ', 'ngerapihin', 'lupa', 'di', 'save', 'babi']",NoBully
"['babiiðÿðÿðÿ', 'makasih', 'udah', 'buat', 'gw', 'ketawa']",NoBully
"['anjing', 'axis', 'tai', 'beli', 'paket', 'suka', 'suka', 'rebu', 'gb', 'yang', 'ke', 'isi', 'gb', 'doang', 'bangsat', 'sehari', 'doang', 'ini', 'mah', 'babiiðÿ', 'ðÿ', 'ðÿ']",NoBully
"['babi', 'baru', 'tidur', 'sebentar', 'udh', 'kena', 'nightmare', 'ðÿðÿ']",NoBully
"['ya', 'ga', 'adaðÿjgn', 'lgsg', 'diulti', 'gitulah', 'babi']",NoBully
"['bangsat', 'anjing', 'fuck', 'puki', 'badjingan', 'aish', 'shibal', 'babi', 'taik', 'monyed']",NoBully
"['otak', 'anjg', 'keluar', 'dehblo', 'anjg', 'bangsat', 'bencik', 'hgt', 'gue', 'kenjaku', 'babi']",NoBully
"['gak', 'pernah', 'takut', 'buat', 'se', 'jatuh', 'cinta', 'sama', 'og', 'sampe', 'bangga', 'bangt', 'jadi', 'babi', 'kek', 'diperhatiin', 'ortu', 'gitu', 'loh', 'of', 'si', 'paling', 'terang', 'terangan', 'dan', 'gun', 'si', 'keliatan', 'cuek', 'aslinya', 'diem', 'perhatian', 'yang', 'ditakutin', 'disini', 'diri', 'sendiri', 'yang', 'berubahninggalin', 'bukan', 'offgun', 'ðÿž']",NoBully
['bagi'],NoBully
"['tb', 'tb', 'nt', 'deket', 'sm', 'siapa', 'anjg', 'ga', 'cerita', 'babi']",NoBully
"['emang', 'boleh', 'se', 'babi', 'ini']",NoBully
"['aku', 'pernah', 'nyolong', 'pialaku', 'sendiri', 'buat', 'bawa', 'pulang', 'karena', 'pas', 'dipajang', 'di', 'sekolah', 'malah', 'nggak', 'keurus', 'ðÿ']",NoBully
"['nyari', 'referensi', 'jurnal', 'kek', 'babi', 'susahnya']",NoBully
"['babi', 'bangetlah', 'si', 'jere', 'woargh', 'ngucapin', 'serapah', 'pun', 'nggak', 'bakal', 'puas', 'gua', 'ngamoknyaðÿðÿ', 'real', 'gue', 'aja', 'udah', 'kehabisan', 'sumpah', 'serapah', 'buat', 'dia', 'ðÿâðÿðÿâðÿ']",NoBully
"['babi', 'ngakak', 'bgt']",NoBully
"['gue', 'ngingetin', 'ya', 'babi', 'ini', 'sbnrnya', 'gue', 'pengen', 'ngomong', 'dancok', 'loh', 'gue', 'cuma', 'ngingetin', 'kontol', 'gue', 'gedeg', 'banget', 'sama', 'lu', 'sumpah', 'disabarim', 'ga', 'ngerti', 'banget', 'anjing', 'malah', 'makin', 'jadi', 'ngeselin', 'nya']",NoBully
"['tau', 'ah', 'mls', 'kalah', 'mulu', 'babi']",NoBully
"['gua', 'blm', 'sempet', 'anjir', 'pas', 'gua', 'mau', 'nyari', 'malah', 'udh', 'gk', 'bisa', 'babi', 'bngt']",NoBully
"['kwidbeywkwiwkwk', 'babi']",NoBully
['jaiwkwjsowksnssjiw'],NoBully
"['ðÿðÿðÿðÿðÿðÿðÿ', 'bambam', 'solo', 'concert', 'in', 'mnl']",NoBully
['bajinganðÿ'],Bully
['bajingan'],Bully
"['ini', 'bajingan', 'tolol', 'dongo', 'banget', 'emang', 'nya', 'di', 'dunia', 'ini', 'rocky', 'gerung', 'doang', 'contoh', 'ibu', 'kau', 'itu', 'kan', 'pelacur', 'kampung', 'kan', 'namanya', 'pelacur', 'kampung', 'banyakbukan', 'ibu', 'mu', 'doang', 'tul', 'gak', 'nyet']",Bully
